ratio,embedding_size,pretrain_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.15,10,{'lr': 0.01},42,0.747073014902859,0.7508528508268991,0.9536348025186033,0.4301716355287075,1241.3248287710028,0.8428422042004576,0.54264005768951
0.15,10,{'lr': 0.001},42,0.7416309505159212,0.735388038535597,0.9527761877504293,0.42907726584375094,1230.2631041134925,0.8450923002799419,0.5419783063688887
0.15,10,{'lr': 0.0001},42,0.5236491157886363,0.5397099466047547,0.9496279336004579,0.10688192319395362,684.5511449738199,2.104402495909899,0.32212317871716584
0.15,10,{'lr': 1e-05},42,0.6357903545951009,0.39998434904338026,0.9129937034917001,0.31626693411499446,647.9245870444871,1.423654531566792,0.4126000578776966
0.2,10,{'lr': 0.01},42,0.747073014902859,0.7508528508268991,0.9536348025186033,0.4301716355287075,1241.3248287710028,0.8428422042004576,0.54264005768951
0.2,10,{'lr': 0.001},42,0.7416309505159212,0.735388038535597,0.9527761877504293,0.42907726584375094,1230.2631041134925,0.8450923002799419,0.5419783063688887
0.2,10,{'lr': 0.0001},42,0.7353876619276773,0.6942596259529242,0.9496279336004579,0.4205934325579715,1234.79334054166,0.8955407435720497,0.5275539464878771
0.2,10,{'lr': 1e-05},42,0.6244699240967314,0.39395488159404446,0.9138523182598741,0.3218925550388728,653.7437917163294,1.388274379722709,0.4187123592206793
0.25,10,{'lr': 0.01},42,0.747073014902859,0.7508528508268991,0.9536348025186033,0.4301716355287075,1241.3248287710028,0.8428422042004576,0.54264005768951
0.25,10,{'lr': 0.001},42,0.7416309505159212,0.735388038535597,0.9527761877504293,0.42907726584375094,1230.2631041134925,0.8450923002799419,0.5419783063688887
0.25,10,{'lr': 0.0001},42,0.7353876619276773,0.6942596259529242,0.9496279336004579,0.4205934325579715,1234.79334054166,0.8955407435720497,0.5275539464878771
0.25,10,{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,10,{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,10,{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,10,{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.3,10,{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.5,10,{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.5,10,{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.5,10,{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
0.5,10,{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
