n_clusters,init,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,acedec,10,{'lr': 0.01},{'lr': 0.01},0.22267418717405071,0.4129382572115701,0.9484831139095592,0.1490775664849616,966.0161659282948,1.970993824189623,0.3365877074055389
3,acedec,10,{'lr': 0.01},{'lr': 0.001},0.26159619795916533,0.43023832780633775,0.951345163136806,0.1151718974552763,795.5998530292325,2.3436867039684963,0.29907108187293313
3,acedec,10,{'lr': 0.01},{'lr': 0.0001},0.21664891492026525,0.362755113594173,0.9456210646823126,0.15235139424986469,919.7754245274699,1.9100179169344331,0.34364049588170675
3,acedec,10,{'lr': 0.01},{'lr': 1e-05},0.39428470896661755,0.4072331734003269,0.9416141957641672,0.11507388583143006,600.0979375795773,2.83850235415609,0.26051827190291094
3,acedec,10,{'lr': 0.001},{'lr': 0.01},0.2172504223658895,0.38318815085192937,0.9413279908414425,0.13990928702054833,920.8016988482133,2.0675224887222257,0.3259959800381282
3,acedec,10,{'lr': 0.001},{'lr': 0.001},0.24595748332031803,0.42743524818565837,0.9533485975958786,0.15642018815972894,981.1339831530302,1.9477440457063089,0.33924247984033834
3,acedec,10,{'lr': 0.001},{'lr': 0.0001},0.21035532466333146,0.3645614429183581,0.9476244991413852,0.09613647321141176,732.054814913194,2.734064426659886,0.2678046990459932
3,acedec,10,{'lr': 0.001},{'lr': 1e-05},0.3447476486456414,0.19725619184203752,0.8692043503148255,0.14203736789319996,283.4303033856847,2.616030001057481,0.27654637812948385
3,acedec,10,{'lr': 0.0001},{'lr': 0.01},0.22132217830367237,0.43227821652696513,0.9536348025186033,0.13433136429411893,889.0702287663762,2.11038057774601,0.32150406517927366
3,acedec,10,{'lr': 0.0001},{'lr': 0.001},0.19891320981646504,0.37026315297915935,0.9373211219232971,0.1125977314465325,779.9632058701661,2.3786550371423583,0.2959757622505885
3,acedec,10,{'lr': 0.0001},{'lr': 0.0001},0.24323320961948672,0.37997674499622824,0.9447624499141385,0.1395098896185093,898.7092315196874,2.0842382237466395,0.32422917020502723
3,acedec,10,{'lr': 0.0001},{'lr': 1e-05},0.019665410790540495,0.009441360046090681,0.8692043503148255,0.004626922599627144,38.483838124245445,12.619903139888512,0.07342196120846904
3,acedec,10,{'lr': 1e-05},{'lr': 0.01},0.21983545693802858,0.4154654276157637,0.9502003434459073,0.12600759650745552,855.3040485571033,2.2037804618945827,0.3121312499073802
3,acedec,10,{'lr': 1e-05},{'lr': 0.001},0.23141703812754505,0.41783150099806904,0.95220377790498,0.13055239286035225,881.9702888963806,2.1487249981206884,0.3175888655239338
3,acedec,10,{'lr': 1e-05},{'lr': 0.0001},-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,10,{'lr': 1e-05},{'lr': 1e-05},-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
