dataset,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
Sim1,0.25981975632199383,0.533991546449214,0.5525308025308026,0.04860301221809406,1564.7204531610894,6.064387199674551,0.14155509483484555
Sim2,0.19626508821997288,0.4451854369612901,0.48779724655819773,-0.027428990837913822,757.366260279717,9.65493088543417,0.09385326012457298
Sim3,0.2769118977588187,0.5507993308636884,0.6416945133124933,0.02525187890009283,2025.24779430042,3.7931403097014433,0.20863148904194886
Sim4,0.35845840964001185,0.6098699319528696,0.8184123268968208,0.17256883069645046,1935.7305787344817,2.278084412030387,0.3050562079274273
Sim5,0.2504295808374241,0.4949340054509817,0.5631059704031298,-0.010082667745941843,1125.3756358718576,5.4306256737858005,0.15550586377255043
Sim6,0.21930403965088865,0.4553780635586096,0.5067740035342627,0.011763411992158178,1152.6924690195347,5.639591159300483,0.15061168316052692
Sim7,0.2910611641801941,0.5633448923707496,0.5266090435031073,0.03821284807903752,1847.268402898737,4.407070148051044,0.1849430417248139
Sim8,0.21824427735907093,0.42997633018397047,0.9533485975958786,0.1398931376823255,902.2195261270115,2.0779744571723735,0.32488898589453036
Sim9,0.2457619223575156,0.4919578902288584,0.4448348559381588,0.014191050675496895,1120.119381389094,9.123543393650596,0.09877964277084957
Sim10,0.24934685298792156,0.5444678191488623,0.5276915968050696,0.007330220893961442,1773.375836873334,4.316360040986846,0.1880986224203084
Sim11,0.27478540957258896,0.5152702268654431,0.4584835135495928,0.016838831110087667,1931.855509401708,7.806451975020648,0.11355310888385958
Sim12,0.24506532081171922,0.5102277303809086,0.4980723606168446,-0.00962351533562279,1162.411027586147,9.325305573856351,0.09684943393171798
Sim13,0.2857225147041736,0.5379021506127174,0.6703028747433265,0.02014114462265673,1839.0411365445227,3.6930534302312705,0.21308088963110755
Sim14,0.3487414060949534,0.5274222287410937,0.8537830042156646,0.13500989473386915,1054.9681505368028,2.0448032183567193,0.3284284494876816
Sim15,0.3174235038541799,0.5452638608718474,0.5923783951254776,0.060759365860422514,1632.915846938754,3.433961069269303,0.22553197567086342
Sim16,0.31546083917133394,0.5394883677842356,0.6650344097406035,0.05691444690610628,1374.7605238249043,3.669162060080973,0.21417119113288133
Sim17,0.3582103170486662,0.5781059455313854,0.6869641679489997,0.13275257659290093,4408.312038867922,4.619867782870759,0.17794012931193495
Sim18,0.37964919714524425,0.6100785556000277,0.7472872644203312,0.1379812918280823,2285.24592688483,2.827496484175125,0.2612673856486933
Sim19,0.1956376762605376,0.46378234359396625,0.4351415948431955,-0.004007558963648953,1115.1244427987606,7.847462048196419,0.11302676344385709
Sim20,0.2547092605967235,0.4985594174638294,0.5550688360450563,0.04983961803392118,1714.1198598704198,6.292362473598132,0.13712977154118192
Sim21,0.47031951743252876,0.6309786446829848,0.9387374796179828,0.17767591630193194,1588.8842569732142,1.623250329626708,0.3812064707306456
Sim22,0.37344400479820494,0.5763799207359567,0.7358118574848613,0.15080211536531885,2879.7218077990588,3.075389853608428,0.24537529805021743
Sim23,0.3180880951673306,0.5659501785687693,0.5653506804247046,0.044299401006848156,1989.1761796690712,6.714276936966991,0.1296297771224646
Sim24,0.15350288627287792,0.364639404553759,0.6110758489368454,0.04833998702792163,782.3202797027739,3.3081327441433186,0.2321191243142282
Sim26,0.27066188540843805,0.5377340962703738,0.5480386583285958,0.02885057159744175,1938.881584854824,4.9688450683348835,0.16753659854652048
Sim27,0.32183390138588863,0.5227198214643378,0.7320061255742726,0.077624951544889,1285.867005505366,3.3711778867010036,0.22877128909405142
Sim28,0.30411111010572417,0.5445827076560533,0.5454846453108186,0.013924642879108813,1474.1120335534526,5.23359456812001,0.1604210843474201
Sim29,0.14186174874340898,0.32626959005254685,0.7335408187694518,0.13278406951297222,813.3922085064748,1.937638595855985,0.34040947086229806
Sim30,0.2691117429862729,0.462355445126347,0.7522072936660269,0.06997533384095966,1438.4519938593537,2.738414752247779,0.267493059564548
Sim31,0.2947211900697796,0.5325090552756915,0.6686527237354085,0.003483762865940519,1375.964463251421,3.6890068186053555,0.21326477838166774
Sim32,0.3329616085796331,0.570711256560613,0.6429830359109936,0.036967689812221774,1933.5370694228784,3.6752415443214987,0.21389269207161926
Sim33,0.2215456152232579,0.38081134496759067,0.8412089230031182,0.04708275988826483,632.1759408133659,3.088405913037837,0.24459410862581474
Sim34,0.3466124778723324,0.6021548741525676,0.722522259524157,0.08426142149699466,1685.3279496309417,3.0768228857668154,0.2452890468926782
Sim35,0.27488650624390526,0.5563181701407329,0.6093239109798545,0.0473700315047761,1965.7704181350125,4.514087469741093,0.18135367011995435
Sim36,0.17692901907712275,0.4518672359795106,0.46554092267916297,-0.012872821689205775,1033.5146050784929,7.090380966703805,0.12360357369022902
Sim37,0.2970539589363068,0.5463715472409291,0.5885071328109303,0.015123551925774721,1925.4198411026541,3.6616970410789267,0.21451415464968845
Sim38,0.5322460083318169,0.762836128649581,0.8051668460710442,0.1645380976487333,3966.5530409666653,2.6817837573379646,0.2716074777631777
Sim39,0.45344087712373293,0.6356895119761495,0.8330154693791058,0.21809597616637832,3054.4908752467254,1.6980236882436672,0.37064166795769315
Sim40,0.3406877109552999,0.531600085752888,0.6729619565217392,0.12253604843874123,4226.335807237539,3.066983564554417,0.24588247877750177
Sim41,0.17615990336147533,0.4387603986716017,0.41132838840188807,-0.022530686922378227,763.3178339297026,7.172389428932707,0.12236323399613097
Sim42,0.30076861342207817,0.5489784620103948,0.7156833679217314,0.06612874821115254,1648.2985139575014,3.329740800027262,0.23096070785431397
Sim43,0.21510034272641754,0.4641954961300703,0.5245147640511453,-0.028437259820755175,768.9087309545379,6.6001507326613575,0.13157633778268873
Sim45,0.24155912860153902,0.48364489411919587,0.6723672367236724,0.051052803453116746,1378.6677277158653,3.5849240493812036,0.2181061211112021
Sim46,0.41334072428920393,0.545741580951622,0.8979057591623036,0.1986650968582596,1799.9221796654153,1.880835561305022,0.3471215134358445
Sim47,0.24471522713299462,0.5056022221531348,0.5353921836567368,0.020207806856312738,1425.9733467974681,5.62897341957124,0.1508529204608999
Sim48,0.34696352155575066,0.5733491888914273,0.7487908544628462,0.07296459627490799,1516.0705398775199,2.747002322979123,0.26688000534916445
Sim49,0.3399106907633458,0.5241334069838263,0.6522746419545071,0.0884615903350309,1326.5435880207099,5.642594699494841,0.15054358202466403
Sim50,0.2177441735564527,0.4741830908125001,0.47845865667647847,0.004362847521830196,1211.8863957386222,5.589470690273624,0.15175725744953203
Sim51,0.22479091389412323,0.5060632607261312,0.4902094329984676,-0.022912027556522368,969.269348767913,6.983710087477222,0.12525504922436265
Sim52,0.20271282639644853,0.4557260801886672,0.5211237169097785,-0.025872615291583568,999.9415736786024,5.235547394970224,0.1603708442352037
Sim53,0.39485581280893917,0.5864417628939582,0.8835189309576837,0.1569657475971233,1319.7237348274532,2.3284732837721918,0.30043804313390493
Sim54,0.5228524906410829,0.7038186473586624,0.8218980210891232,0.2118573647734499,3859.1280149874437,1.8550981355631757,0.3502506577773893
