n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
17,10,{'lr': 0.01},{'lr': 0.01},42,0.5936604917954996,0.743955597519819,0.6298701298701299,0.1475581497763853,1777.1470599555068,1.970758391114001,0.3366143820349562
17,10,{'lr': 0.01},{'lr': 0.001},42,0.8263924323078518,0.8770497978776322,0.8554778554778555,0.1250187191733802,1301.4206590872298,2.3770645876614744,0.29611515386872506
17,10,{'lr': 0.01},{'lr': 0.0001},42,0.5965157806760457,0.8268049801493654,0.8026140526140526,0.10325638612352851,1223.8523249568482,2.827045412126719,0.26129817974756986
17,10,{'lr': 0.01},{'lr': 1e-05},42,0.06119179581807647,0.2636239212253714,0.32492507492507494,0.16013194533351674,799.8723595637754,2.0541796593168886,0.32742016238287186
17,10,{'lr': 0.001},{'lr': 0.01},42,0.19122274529232863,0.3865120461473238,0.3275058275058275,0.1626554649846442,2792.4602420690835,1.9720766409118704,0.3364650784016079
17,10,{'lr': 0.001},{'lr': 0.001},42,0.7043652050158979,0.8856748361762414,0.9175824175824175,0.12298337557260174,1269.3721879252753,2.8814023231542607,0.25763884203257237
17,10,{'lr': 0.001},{'lr': 0.0001},42,0.6172759225418211,0.8420199605798773,0.8707958707958708,0.11606342232647893,1273.3213680651434,2.7019409680161823,0.2701285646204904
17,10,{'lr': 0.001},{'lr': 1e-05},42,0.4424296483435742,0.6972863449193826,0.6346986346986347,0.10241387093651799,1347.5961069209043,2.5650241135888243,0.280503011519135
17,10,{'lr': 0.0001},{'lr': 0.01},42,0.5207496533447641,0.7632079400740889,0.6149683649683649,0.18083612824295475,2311.0556016739083,1.7647883155735233,0.3616913433723629
17,10,{'lr': 0.0001},{'lr': 0.001},42,0.692912516386033,0.8753173416845643,0.8949383949383949,0.1256188956187896,1287.1265137908752,2.332455524178321,0.300079023634252
17,10,{'lr': 0.0001},{'lr': 0.0001},42,0.7308335765695974,0.8906000904761112,0.911005661005661,0.131260090337664,1353.066313085338,2.538521472255103,0.2826039089605126
17,10,{'lr': 0.0001},{'lr': 1e-05},42,0.5820322061148614,0.7639406412161794,0.7083749583749583,0.051491216379722135,1120.0253594155597,2.415562828177357,0.29277751583144757
