n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,batch_size,pretrain_epochs,clustering_epochs,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,10,{'lr': 0.01},{'lr': 0.001},256,10,150,42,0.8858746716722959,0.8444786833425558,0.8864833235810415,0.16137408681908888,908.7423234089397,1.764172966079358,0.3617718617002386
5,10,{'lr': 0.01},{'lr': 0.001},256,10,300,42,0.7473703806585846,0.8110525737313583,0.8909693778037839,0.18055187353775978,935.809455308326,1.5984353104456637,0.38484698694634334
5,10,{'lr': 0.01},{'lr': 0.001},256,50,150,42,0.5699206087317237,0.7883522834681854,0.9122293739028672,0.1372431577149786,841.0287919521048,2.189974063938352,0.31348217256832395
5,10,{'lr': 0.01},{'lr': 0.001},256,50,300,42,0.620440934321854,0.8072888245223311,0.9128145114101814,0.13786068593782774,838.3961079838947,2.1965906678866807,0.31283329768997814
5,10,{'lr': 0.01},{'lr': 0.001},256,100,150,42,0.7552871841918577,0.7469126263599697,0.8780963526428711,0.1453758195451901,743.2690710509592,2.456274691777497,0.28932885524955737
5,10,{'lr': 0.01},{'lr': 0.001},256,100,300,42,0.5244768448748991,0.7279450811410914,0.8839477277160133,0.11091354995178725,764.9794854004308,2.641581962420365,0.2746059295986169
5,10,{'lr': 0.01},{'lr': 0.001},32,10,150,42,0.4471383715061426,0.6024596348669606,0.7519016968987712,0.13925481491998976,554.3056006691405,1.880671804719299,0.3471412461363133
5,10,{'lr': 0.01},{'lr': 0.001},32,10,300,42,0.45516587386030727,0.6486156837119865,0.7776477472205968,0.15680819906514767,635.0057181936679,1.4742149656824148,0.4041686004935264
5,10,{'lr': 0.01},{'lr': 0.001},32,50,150,42,0.35227717549493354,0.4435288122642185,0.6434562122098694,0.20141866688022672,1057.437439090131,1.9411066086458661,0.3400080762323731
5,10,{'lr': 0.01},{'lr': 0.001},32,50,300,42,0.44188052427523,0.53467686327623,0.689877121123464,0.216658832746944,1101.3365290718655,1.721637829056641,0.36742581592739487
