n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,batch_size,pretrain_epochs,clustering_epochs,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,10,{'lr': 0.001},{'lr': 0.001},256,10,150,42,0.5927372741553633,0.7659914310707057,0.8903842402964697,0.1273240758991012,833.0908290098257,2.220704660645352,0.3104910587484988
5,10,{'lr': 0.001},{'lr': 0.001},256,10,300,42,0.6491674049284358,0.8139492682256111,0.9133996489174956,0.14027718978030165,845.3854095880462,2.158333412998045,0.3166226833064945
5,10,{'lr': 0.001},{'lr': 0.001},256,50,150,42,0.9283045368260621,0.9308040161559791,0.9732787204993173,0.15617481661997348,809.9590400143552,2.043980067668441,0.32851726284987054
5,10,{'lr': 0.001},{'lr': 0.001},256,50,300,42,0.6470069453459256,0.8197469301469765,0.9139847864248098,0.1403920103197259,846.9380972050885,2.1538788159180835,0.3170698870713913
5,10,{'lr': 0.001},{'lr': 0.001},256,100,150,42,0.7556473407524652,0.790281691314299,0.9089135946947533,0.14237425615385982,763.3923770411798,2.093815765432375,0.32322545226290983
5,10,{'lr': 0.001},{'lr': 0.001},256,100,300,42,0.6054848377624351,0.8040768814920702,0.9132046030817242,0.14018423141056444,851.3498894895329,2.1485300745965654,0.31760852725160466
5,10,{'lr': 0.001},{'lr': 0.001},32,10,150,42,0.9218293172434797,0.9164570500478305,0.9709381704700605,0.126184877886797,784.6086557362588,2.050494451230245,0.32781570856380554
5,10,{'lr': 0.001},{'lr': 0.001},32,10,300,42,0.9006250935595952,0.8949325476852393,0.9627462453676614,0.1338081722211504,782.1616513009769,2.139641828844634,0.3185076688725328
5,10,{'lr': 0.001},{'lr': 0.001},32,50,150,42,0.6524324970364496,0.7791401788356398,0.8884337819387557,0.12387991417385077,817.5372976925132,2.24912135109821,0.3077755158827779
5,10,{'lr': 0.001},{'lr': 0.001},32,50,300,42,0.9198091526236962,0.9123842142223703,0.9699629412912034,0.1545670436147204,802.4378439490512,2.0542216907445137,0.3274156565092806
5,10,{'lr': 0.001},{'lr': 0.001},32,100,150,42,0.8931906165993188,0.8997639492868029,0.9588453286522333,0.1580581102200116,805.5469053112699,2.087274104216874,0.3239103384549208
5,10,{'lr': 0.001},{'lr': 0.001},32,100,300,42,0.8405306826097112,0.804044894988573,0.8582016773941876,0.11678919144751437,606.378084054442,2.1492694168580027,0.3175339634795968
5,10,{'lr': 0.001},{'lr': 0.001},64,10,150,42,0.9072467211236602,0.9087831108559931,0.9648917495611469,0.15670346015244757,814.1305698105632,2.033578184468584,0.3296437207782657
5,10,{'lr': 0.001},{'lr': 0.001},64,10,300,42,0.9210650464086712,0.9197564827747211,0.9703530329627462,0.1569515542476489,810.2372400820957,2.039138675327169,0.32904059565243365
5,10,{'lr': 0.001},{'lr': 0.001},64,50,150,42,0.727052275591585,0.842060621094063,0.913594694753267,0.14361016157145698,832.3112926492331,2.157397745735735,0.31671651167502196
5,10,{'lr': 0.001},{'lr': 0.001},64,50,300,42,0.8256630925203695,0.8593273947096103,0.9311488199726936,0.15486559127041585,790.4414360420408,2.234467777274114,0.30916987549734126
