n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,10,{'lr': 0.01},{'lr': 0.01},42,-0.028723427682382584,0.09801824739356672,0.8692043503148255,-0.017579158947922155,245.08022177016812,5.718835179203276,0.14883532239268008
3,10,{'lr': 0.01},{'lr': 0.001},42,0.30554207653734433,0.41989780179345426,0.9390383514596451,0.061135666002550604,525.2627886816836,4.905208384347435,0.16934203416946933
3,10,{'lr': 0.01},{'lr': 0.0001},42,0.23057363001813239,0.41548762167415587,0.9527761877504293,0.09847228280453107,775.0506914590856,2.7777652078498143,0.26470676312072045
3,10,{'lr': 0.01},{'lr': 1e-05},42,0.21909572991964657,0.42483636172320044,0.9502003434459073,0.11291031192612791,802.2668312111017,2.450500197510039,0.28981305398029633
3,10,{'lr': 0.001},{'lr': 0.01},42,-0.0559034136706579,0.035523227135202326,0.8692043503148255,-0.024536800456776486,90.09149607001311,7.207903436736371,0.12183379199178547
3,10,{'lr': 0.001},{'lr': 0.001},42,-0.09259515630415113,0.09444675445837952,0.8692043503148255,-0.046759272415677074,148.50078463396815,4.552955859042297,0.18008426960059923
3,10,{'lr': 0.001},{'lr': 0.0001},42,0.21970482633043797,0.3860329979838097,0.9481969089868346,0.10056139179230927,779.6192256248592,2.724118761179597,0.26851990071424436
3,10,{'lr': 0.001},{'lr': 1e-05},42,0.22008258620723037,0.434738682422931,0.9527761877504293,0.1117077770373129,815.4661587344855,2.4697510026095517,0.28820511882492833
3,10,{'lr': 0.0001},{'lr': 0.01},42,0.021396202849106757,0.0761655845638621,0.8692043503148255,0.000193875601499345,120.00499762479527,6.747137695022752,0.12907993111345664
3,10,{'lr': 0.0001},{'lr': 0.001},42,-0.0006443461527089482,0.0102573973926552,0.8692043503148255,0.04270520624044383,136.1446030425298,4.742724336884041,0.17413338014106952
3,10,{'lr': 0.0001},{'lr': 0.0001},42,0.011155968076433093,0.11262299618473176,0.8692043503148255,0.030838971086264353,343.7744691170676,3.2564045033206432,0.23494007658807986
3,10,{'lr': 0.0001},{'lr': 1e-05},42,0.053118565393588384,0.1685083639106839,0.8692043503148255,0.06047682838104658,506.6622059502151,2.937218153086651,0.25398643436001445
3,10,{'lr': 1e-05},{'lr': 0.01},42,-0.06645471731031331,0.09485418368985606,0.8692043503148255,-0.03357799058880169,267.16807009301886,4.810831222797211,0.17209241873637163
3,10,{'lr': 1e-05},{'lr': 0.001},42,0.0038788773908781066,0.02679191129808132,0.8692043503148255,0.010663101779045529,101.17031215752728,7.066645511932562,0.12396726725139375
3,10,{'lr': 1e-05},{'lr': 0.0001},42,0.20047663281099998,0.2065718590172349,0.8692043503148255,0.19916082577422897,844.2622825211866,1.8838355348535565,0.3467604126220675
3,10,{'lr': 1e-05},{'lr': 1e-05},42,0.03501114145841225,0.058743346607829885,0.8692043503148255,0.02708662312353371,171.75435906815824,4.285848468562541,0.1891843865648961
