n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,10,{'lr': 0.01},{'lr': 0.01},42,0.06418617114260677,0.17152004352704092,0.8692043503148255,0.045701405119014736,534.8269882254656,3.0681777618296167,0.24581030096144604
3,10,{'lr': 0.01},{'lr': 0.001},42,0.22101941343854706,0.4469469727761264,0.953921007441328,0.12314317001427899,846.3703032739816,2.273060613224434,0.3055244366571191
3,10,{'lr': 0.01},{'lr': 0.0001},42,0.23340841947962992,0.4463174094180583,0.953921007441328,0.12026787917186166,846.9500606523746,2.3169588191967176,0.3014809813774457
3,10,{'lr': 0.01},{'lr': 1e-05},42,0.29369196734515174,0.4644815371131147,0.953921007441328,0.11532465132888405,814.8869387222857,2.4040904817777644,0.2937642243509804
3,10,{'lr': 0.001},{'lr': 0.01},42,0.10848179790702446,0.1960353446438043,0.8692043503148255,0.03576900159511584,424.63308306778663,3.396039683136175,0.22747747338044746
3,10,{'lr': 0.001},{'lr': 0.001},42,0.22294480578033501,0.4422214761279827,0.953921007441328,0.11339221057671833,821.5977146643447,2.4469506913155676,0.29011148970580103
3,10,{'lr': 0.001},{'lr': 0.0001},42,0.23539599993822263,0.4503091193434473,0.953921007441328,0.11407087759218902,823.6559529319218,2.428489529128997,0.29167363397316504
3,10,{'lr': 0.001},{'lr': 1e-05},42,0.22047577429701679,0.44236356853132675,0.9536348025186033,0.11261780178785294,818.4655331473725,2.4471027161025938,0.2900986951530799
3,10,{'lr': 0.0001},{'lr': 0.01},42,0.05494557235898752,0.1533957742124666,0.8692043503148255,0.04496678021432917,512.5146760979719,3.12868449522939,0.24220789967251785
3,10,{'lr': 0.0001},{'lr': 0.001},42,-0.0051715003755760025,0.10508280368223721,0.8692043503148255,0.007199384120813243,364.5569133263621,4.244743118000727,0.1906671075210249
3,10,{'lr': 0.0001},{'lr': 0.0001},42,0.013137978885337976,0.10364153254842493,0.8692043503148255,0.03200759905895742,297.17823733203585,2.9761235135219906,0.25150124149795716
3,10,{'lr': 0.0001},{'lr': 1e-05},42,-0.005935129353942379,0.04990799353627689,0.8692043503148255,0.046319409515320875,176.98155601042274,4.333445188885507,0.18749606766071653
3,10,{'lr': 1e-05},{'lr': 0.01},42,0.026384159997540662,0.11330806834984998,0.8692043503148255,0.008397715381718815,309.6065264648397,4.24100215147397,0.19080320349014965
3,10,{'lr': 1e-05},{'lr': 0.001},42,-0.016165767258997047,0.09267056259023172,0.8692043503148255,-0.020785364124485922,334.75396837653454,4.6372964768762905,0.1773899960915511
3,10,{'lr': 1e-05},{'lr': 0.0001},42,0.037999770882147114,0.12529146716162662,0.8692043503148255,0.026726005940675576,482.39230795910237,3.6525960698385354,0.21493376708171963
3,10,{'lr': 1e-05},{'lr': 1e-05},42,-0.0024348728660082367,0.0029328706733487892,0.8692043503148255,-0.0022027575649719096,45.59995709934689,8.781930112366982,0.1022293134905689
