n_clusters,init,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,acedec,10,{'lr': 0.01},{'lr': 0.01},0.22907061685614105,0.42245107505874036,0.953921007441328,0.1496467257559003,962.7574732529135,1.961992957027589,0.33761052592222135
3,acedec,10,{'lr': 0.01},{'lr': 0.001},0.23066138833493507,0.41220558089555615,0.9533485975958786,0.15209020074766558,961.7633401776177,1.9445478688716282,0.3396107125890289
3,acedec,10,{'lr': 0.01},{'lr': 0.0001},0.22436766961208365,0.3929013709646667,0.9510589582140813,0.09109154912875157,747.5950765198081,2.9697245524704656,0.251906646615487
3,acedec,10,{'lr': 0.01},{'lr': 1e-05},-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,10,{'lr': 0.001},{'lr': 0.01},0.21154365258239205,0.33108816346960823,0.9304522037779049,0.14225351070194753,908.5967879773781,2.048009899661542,0.32808292391407334
3,acedec,10,{'lr': 0.001},{'lr': 0.001},0.20051295587235576,0.31577081047656896,0.9310246136233543,0.09664903937384557,756.2670486010604,2.6715792234892084,0.27236236483811205
3,acedec,10,{'lr': 0.001},{'lr': 0.0001},0.24823784137297278,0.4330193589903842,0.95220377790498,0.10805609623069098,807.9791563060462,2.552660164423699,0.2814792166202637
3,acedec,10,{'lr': 0.001},{'lr': 1e-05},0.4375563126581613,0.38418072878436416,0.9258729250143103,0.20927238715797705,588.8650584659731,1.5931180619018492,0.3856361245914805
3,acedec,10,{'lr': 0.0001},{'lr': 0.01},0.006945871455114933,0.010283314386604028,0.8692043503148255,-0.0023590475984867267,5.885408871986397,23.306638812886916,0.041141023557309746
3,acedec,10,{'lr': 0.0001},{'lr': 0.001},0.2206782536809252,0.35082712786057185,0.9370349170005724,0.08821774382475363,715.9809470691825,2.7601794774317088,0.2659447523720393
3,acedec,10,{'lr': 0.0001},{'lr': 0.0001},0.07392194425170018,0.17268877023642856,0.8692043503148255,0.04685560846155322,487.575992476557,3.67319859755917,0.213986197916413
3,acedec,10,{'lr': 0.0001},{'lr': 1e-05},0.19303643492767306,0.32713161184273015,0.9416141957641672,0.046210383419660855,553.9895129642786,5.666417022784149,0.1500056171977015
3,acedec,10,{'lr': 1e-05},{'lr': 0.01},0.009993066702955637,0.006054912169243408,0.8692043503148255,-0.010728954494824028,6.29556702562811,22.60474822066961,0.042364357825445696
3,acedec,10,{'lr': 1e-05},{'lr': 0.001},-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,10,{'lr': 1e-05},{'lr': 0.0001},-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,10,{'lr': 1e-05},{'lr': 1e-05},-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
