max_n_leaf_nodes,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
1,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.01},{'lr': 0.001},42,0.7490744894316465,0.7569849772071351,0.953921007441328,0.43045148133751027,1245.914072421373,0.8435448966178432,0.5424332229904432
1,10,{'lr': 0.01},{'lr': 0.0001},42,0.7490744894316465,0.7569849772071351,0.953921007441328,0.43045148133751027,1245.914072421373,0.8435448966178432,0.5424332229904432
1,10,{'lr': 0.01},{'lr': 1e-05},42,0.739507255639305,0.7400115957724848,0.9527761877504293,0.43077320275792075,1230.7945436055793,0.840642610890712,0.5432885200435984
1,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.001},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.001},{'lr': 1e-05},42,0.7435296663645308,0.7491993221503062,0.9533485975958786,0.4306350490006114,1236.8269377132588,0.8418359296832312,0.5429365253896341
1,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.0001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.0001},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.0001},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
