n_clusters,embedding_size,alpha,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
4,10,0.25,{'lr': 0.01},{'lr': 0.01},42,0.1133781435614411,0.22682706508427003,0.9037530917302936,0.05487535213377032,2308.8559615621516,3.1942587119346975,0.23842115345782455
4,10,0.25,{'lr': 0.01},{'lr': 0.001},42,0.23987181555889306,0.304309676572479,0.9275190880739864,0.12242251952351739,2909.5087797528454,2.317118249021358,0.3014664913724519
4,10,0.25,{'lr': 0.01},{'lr': 0.0001},42,0.23405163137373375,0.31107123536011677,0.9324658565437144,0.11053118238127772,2909.58221862655,2.337068407832983,0.29966421954453654
4,10,0.25,{'lr': 0.01},{'lr': 1e-05},42,0.2345120155010868,0.2875786654086686,0.9277341649639747,0.1259977561387291,2982.881906391098,2.229786303521153,0.3096180075164068
4,10,0.25,{'lr': 0.001},{'lr': 0.01},42,0.10903574368867829,0.17085868978650356,0.8747177115818905,0.032884057142807545,1975.199938567512,3.0343056973568925,0.24787412631005085
4,10,0.25,{'lr': 0.001},{'lr': 0.001},42,0.25909330985762924,0.3029356636455744,0.9095601677599742,0.09378772399248851,2682.342959229922,2.5552985829465706,0.28127032840409627
4,10,0.25,{'lr': 0.001},{'lr': 0.0001},42,0.23899415152644857,0.3174256852679557,0.9396709323583181,0.12001019184365747,2978.7389881355934,2.2756465919495272,0.3052832385696535
4,10,0.25,{'lr': 0.001},{'lr': 1e-05},42,0.23554875611839174,0.3082236416747009,0.9357995483385311,0.11621212711028839,2957.910593605704,2.2966907844509694,0.30333448460394197
4,10,0.25,{'lr': 0.0001},{'lr': 0.01},42,0.09130645491791803,0.19653873985427037,0.8682654048822454,0.03491635050608403,1787.7314918237298,19.58907239606205,0.04856945377448204
4,10,0.25,{'lr': 0.0001},{'lr': 0.001},42,0.11204918619314787,0.21310197892526356,0.847618023443381,0.022515120669122146,1475.8488032155828,4.554325367126962,0.18003986693297755
4,10,0.25,{'lr': 0.0001},{'lr': 0.0001},42,0.19160866048505448,0.28540852027863417,0.9066566297451338,0.03924251551740158,2385.0150396354084,4.240186378688062,0.19083290702541023
4,10,0.25,{'lr': 0.0001},{'lr': 1e-05},42,0.35032937497861283,0.3025227977924449,0.9069792450801162,0.09868734485914873,2525.67161201011,3.0661795568931134,0.24593109723961137
