n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,batch_size,pretrain_epochs,clustering_epochs,clustering_loss_weight,ssl_loss_weight,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,10,{'lr': 0.01},{'lr': 0.001},256,10,300,0.5,0.5,42,0.8076342647562396,0.7898232841223669,0.8648332358104155,0.2376761156983253,1479.1208487031379,1.2363300620959172,0.4471611847236839
5,10,{'lr': 0.01},{'lr': 0.001},256,10,300,0.5,1.0,42,0.4375411491738334,0.5555040610449723,0.744099863467915,0.09810562906861088,1020.8638315163538,1.3422117849450805,0.4269468740733229
5,10,{'lr': 0.01},{'lr': 0.001},256,10,300,1.0,0.5,42,0.7991487605943922,0.8137073156320576,0.9219816656914375,0.2281303886312515,1863.3951354695603,1.5348156430519306,0.3945060078594098
5,10,{'lr': 0.01},{'lr': 0.001},256,10,300,1.0,1.0,42,0.3615797258827477,0.4491654835555243,0.6851960210649503,-0.05717464458008446,367.0039315201028,2.730964178896514,0.26802723158166697
