n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
20,10,{'lr': 0.01},{'lr': 0.01},42,0.5578804857136099,0.7713164866256979,0.7332603254067585,0.13780353522158822,1920.3374796937537,3.6593036798533403,0.21462434490457527
20,10,{'lr': 0.01},{'lr': 0.001},42,0.5746044005997457,0.7856677191348086,0.6943053817271589,0.16135157589431068,1685.5957384927349,4.346361607293338,0.1870430908818123
20,10,{'lr': 0.01},{'lr': 0.0001},42,0.6603328090656824,0.7816827279845586,0.7520337922403004,0.13463922766544456,2022.3370823643215,3.568795461111308,0.2188760710589485
20,10,{'lr': 0.01},{'lr': 1e-05},42,0.5896561687171701,0.7358265558478686,0.7223091364205256,0.12331013529422465,1852.9367868429283,3.5384858108407444,0.22033780465091996
20,10,{'lr': 0.001},{'lr': 0.01},42,0.618995365828562,0.7381609163274665,0.7168335419274092,0.11729982135621564,1668.718060538378,3.735581511335206,0.2111673080922322
20,10,{'lr': 0.001},{'lr': 0.001},42,0.554092411782181,0.7842052864520969,0.7093241551939925,0.09903868184939342,1834.7652203983794,3.9906491821940264,0.20037473352522298
20,10,{'lr': 0.001},{'lr': 0.0001},42,0.6459935165889775,0.7830445259669903,0.7722934918648311,0.12417653563133829,2126.453097552284,3.073946192211453,0.2454622503143989
20,10,{'lr': 0.001},{'lr': 1e-05},42,0.41486974404311255,0.7106464286044577,0.7237953692115144,0.1015879786584867,1952.7721726113105,3.1838848110182587,0.23901231634448933
20,10,{'lr': 0.0001},{'lr': 0.01},42,0.4959550145789836,0.6812576782270533,0.676392365456821,0.10330014352539511,1664.2124169965998,3.760558226204916,0.21005939902077264
20,10,{'lr': 0.0001},{'lr': 0.001},42,0.48834872414781627,0.723662405668391,0.7143304130162703,0.06267911470296712,1871.1620838838917,3.6064484032173576,0.2170869859958821
20,10,{'lr': 0.0001},{'lr': 0.0001},42,0.4577640320442653,0.6765907686916687,0.7442115143929913,0.09598528446487811,1947.498766463809,2.9975616329503936,0.25015249089779557
20,10,{'lr': 0.0001},{'lr': 1e-05},42,0.21727658191437701,0.4718804600339042,0.5587453066332916,-0.01527647814350242,1050.5876291348882,3.6978986549030792,0.2128611265286289
20,10,{'lr': 1e-05},{'lr': 0.01},42,0.38683661324629426,0.6431206233723472,0.6914893617021277,0.07528431550740523,1810.8419565549257,3.103257611632226,0.24370880277297827
20,10,{'lr': 1e-05},{'lr': 0.001},42,0.378646658723132,0.6434619619956787,0.6742021276595744,0.04887314924917976,1694.988600827939,4.217065497301093,0.19167863629799606
