n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,device,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
17,10,{'lr': 0.01},{'lr': 0.01},42,cpu,0.5445404351611554,0.7924053751925578,0.7516650016650017,0.14951875021948718,2846.7301395437416,3.247463541397357,0.23543462827959055
17,10,{'lr': 0.01},{'lr': 0.001},42,cpu,0.5184011050075491,0.7558779324699193,0.6930569430569431,0.16381086117182272,2741.6341365168814,3.3704306971962628,0.22881040091575514
17,10,{'lr': 0.01},{'lr': 0.0001},42,cpu,0.4795895473690933,0.7081796864645349,0.6717449217449217,0.1285822554752775,2368.608860037435,3.9487784795344214,0.20207006721668402
17,10,{'lr': 0.01},{'lr': 1e-05},42,cpu,0.44161846329845783,0.7230471863329323,0.6645021645021645,0.15853503786253148,2469.40071036504,2.7230318513004215,0.26859829298820237
17,10,{'lr': 0.001},{'lr': 0.01},42,cpu,0.40678894207474553,0.6664267012138756,0.6501831501831502,0.09044200911693581,2095.229116790362,4.180436301022233,0.19303393418864628
17,10,{'lr': 0.001},{'lr': 0.001},42,cpu,0.6164937889728679,0.7965348492274467,0.7445054945054945,0.17892624227339848,2408.4844697676303,4.299663293058366,0.18869123276375416
17,10,{'lr': 0.001},{'lr': 0.0001},42,cpu,0.6081636390147395,0.7481945258475164,0.7111222111222111,0.1476437313842397,2217.510188507435,4.411542635335799,0.18479019151956616
17,10,{'lr': 0.001},{'lr': 1e-05},42,cpu,0.42308903074104026,0.7057331618586901,0.7038794538794538,0.08494935359733334,2527.560286410666,3.1928191766079537,0.2385030114294157
17,10,{'lr': 0.0001},{'lr': 0.01},42,cpu,0.31119090219765033,0.5573558352453313,0.6180486180486181,0.08768148914492317,2075.6223773967813,3.1175922438624903,0.24286037586420994
17,10,{'lr': 0.0001},{'lr': 0.001},42,cpu,0.530333801624124,0.7407800777783384,0.7560772560772561,0.15139612703445066,2654.486989789794,3.276340079319148,0.23384482558721423
17,10,{'lr': 0.0001},{'lr': 0.0001},42,cpu,0.45599949125286404,0.6661463683948871,0.6935564435564435,0.07978246348750673,2212.6390638939506,3.328835641280716,0.23100900169638763
17,10,{'lr': 0.0001},{'lr': 1e-05},42,cpu,0.20062856564087275,0.41097151309553,0.4946719946719947,-0.003994319902171161,1088.9357622878929,3.347410754093097,0.23002197320750004
17,10,{'lr': 1e-05},{'lr': 0.01},42,cpu,0.40522190678324194,0.6673049020644339,0.6976356976356977,0.08932876395695022,2553.642128928205,2.5251291774058195,0.2836775475944149
17,10,{'lr': 1e-05},{'lr': 0.001},42,cpu,0.3742922688660423,0.6228948002605431,0.6153013653013653,0.054699152634171244,1780.102642079292,4.9175287104758025,0.16898946315709457
17,10,{'lr': 1e-05},{'lr': 0.0001},42,cpu,0.3743076741625889,0.6087869570433695,0.6319513819513819,0.050428600968288065,2100.3855122313535,4.0357172168827535,0.1985814446941934
17,10,{'lr': 1e-05},{'lr': 1e-05},42,cpu,0.09806929712963115,0.2503222421349407,0.38161838161838163,-0.08255724627319233,586.4587205111834,6.125170000546965,0.1403475285394222
