n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,batch_size,pretrain_epochs,clustering_epochs,clustering_loss_weight,ssl_loss_weight,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
17,10,{'lr': 0.01},{'lr': 0.001},64,10,300,0.5,0.5,42,0.049599879882211206,0.35343316344512965,0.34032634032634035,0.11171366378950011,2614.5792604605454,1.8391719053145603,0.3522153759439962
17,10,{'lr': 0.01},{'lr': 0.001},64,10,300,0.5,1.0,42,0.4327424842905618,0.6460607592183625,0.489010989010989,0.17345481205490457,3065.890234970566,1.7472731907616221,0.3639972913370044
17,10,{'lr': 0.01},{'lr': 0.001},64,10,300,1.0,0.5,42,0.06841571845703669,0.21673153586929844,0.2943722943722944,0.31946329921759664,234.52610771003978,6.396499334932441,0.13519909280288386
17,10,{'lr': 0.01},{'lr': 0.001},64,10,300,1.0,1.0,42,0.2625840344774287,0.48698201319083667,0.41208791208791207,0.1895782898496063,3095.9376253956316,1.6530239204228754,0.3769283768239098
17,10,{'lr': 0.01},{'lr': 0.001},128,10,300,0.5,0.5,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
17,10,{'lr': 0.01},{'lr': 0.001},128,10,300,0.5,1.0,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
17,10,{'lr': 0.01},{'lr': 0.001},128,10,300,1.0,0.5,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
17,10,{'lr': 0.01},{'lr': 0.001},128,10,300,1.0,1.0,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
17,10,{'lr': 0.01},{'lr': 0.001},256,10,300,0.5,0.5,42,0.7355970282068353,0.8264865973522517,0.6914751914751914,0.22118427720362785,3268.293240386551,1.6548647268897771,0.3766670255819468
17,10,{'lr': 0.01},{'lr': 0.001},256,10,300,0.5,1.0,42,0.8229299178004919,0.8566838061247515,0.8338328338328338,0.20149119830982434,2772.2261372534763,2.0100009328663444,0.33222581065705065
17,10,{'lr': 0.01},{'lr': 0.001},256,10,300,1.0,0.5,42,0.30653939988632595,0.5901124701263581,0.41883116883116883,0.14583445312621734,2465.057771113371,1.7042866078577312,0.3697832903858424
17,10,{'lr': 0.01},{'lr': 0.001},256,10,300,1.0,1.0,42,0.7551002985990536,0.8475493784689974,0.7506660006660006,0.22774002172174776,3377.2460590881565,1.3853033255322813,0.4192338933568751
