max_n_leaf_nodes,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
1,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.01},{'lr': 0.001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
1,10,{'lr': 0.01},{'lr': 0.0001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
1,10,{'lr': 0.01},{'lr': 1e-05},42,0.033456577008202336,0.1805578863071391,0.30602730602730605,0.4540283990452947,4244.754551372281,0.6498777379528955,0.6061055173947382
1,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.001},{'lr': 0.001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
1,10,{'lr': 0.001},{'lr': 0.0001},42,0.03359815599494169,0.18146495453007974,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
1,10,{'lr': 0.001},{'lr': 1e-05},42,0.03289355203467331,0.1772971967813193,0.30536130536130535,0.4535479003159477,4208.679575244668,0.645877673614899,0.6075785679768442
1,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.0001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.0001},{'lr': 0.0001},42,0.01563565088247877,0.10947417808890188,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
1,10,{'lr': 0.0001},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890188,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
1,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
