n_clusters_init,min_n_clusters,max_n_clusters,embedding_size,dip_merge_threshold,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
4,3,5,10,0.9,{'lr': 0.01},{'lr': 0.01},42,0.6140403869525213,0.41558006326503877,0.9068717066351221,0.3488892197510597,3538.8569453624245,2.0308073762068792,0.3299450858706572
4,3,5,10,0.9,{'lr': 0.01},{'lr': 0.001},42,0.20754607112427195,0.3015971156352844,0.9061189375201635,0.10172140342221987,3434.8730280033938,2.4750184129974886,0.28776825937374473
4,3,5,10,0.9,{'lr': 0.01},{'lr': 0.0001},42,0.15747366880459793,0.13662297210327343,0.847618023443381,0.0262108510001155,1476.5862728066918,3.8033914682581167,0.20818623812117404
4,3,5,10,0.9,{'lr': 0.01},{'lr': 1e-05},42,0.5550114759169159,0.3387518394486167,0.9113883213248737,0.3922363028566344,2251.029298885299,1.3818555972779853,0.41984073305821423
4,3,5,10,0.9,{'lr': 0.001},{'lr': 0.01},42,0.020094161445183303,0.005819834589018798,0.847618023443381,-0.0006925362546496987,97.02922835000476,8.286887620125071,0.10767870150953032
4,3,5,10,0.9,{'lr': 0.001},{'lr': 0.001},42,0.21326452873504997,0.3042394707667761,0.9068717066351221,0.11570662019010204,3517.663012356505,2.2442389653074826,0.30823869964376127
4,3,5,10,0.9,{'lr': 0.001},{'lr': 0.0001},42,0.24096949260838246,0.2830989050759302,0.8986987848155715,0.08832292218749808,3084.9967364452395,3.6909174923602497,0.21317791277050302
4,3,5,10,0.9,{'lr': 0.001},{'lr': 1e-05},42,0.5059159455080368,0.30070272425989836,0.8919238627809442,0.4042078473735422,1783.5613870220895,1.6314631541145916,0.3800167212816134
4,3,5,10,0.9,{'lr': 0.0001},{'lr': 0.01},42,0.047099559882495826,0.04617298073618716,0.847618023443381,-0.01787235764110788,407.8048435335698,4.911844444681748,0.169151947308017
4,3,5,10,0.9,{'lr': 0.0001},{'lr': 0.001},42,0.21100140547986462,0.3017520518220249,0.9065490913001398,0.07197630798565144,3227.774691696365,3.548004656211494,0.21987664384517228
4,3,5,10,0.9,{'lr': 0.0001},{'lr': 0.0001},42,0.2063652498249539,0.30048085898822524,0.9062264759651576,0.06006712504049524,3118.3397935372714,5.606948856208892,0.15135579550615835
4,3,5,10,0.9,{'lr': 0.0001},{'lr': 1e-05},42,0.19549348449689444,0.26623636218112706,0.9013872459404237,0.05946486524399215,3020.910321650996,4.465652077514336,0.1829607859808704
4,3,5,10,0.9,{'lr': 1e-05},{'lr': 0.01},42,0.04867522168077838,0.0246769439129224,0.847618023443381,-0.00040696305017299796,297.9362828716331,5.829881839664092,0.1464154173491795
4,3,5,10,0.9,{'lr': 1e-05},{'lr': 0.001},42,0.08472452026882749,0.0370439748088557,0.847618023443381,0.054216002427792995,122.7996879263304,6.573035739795093,0.1320474423149966
4,3,5,10,0.9,{'lr': 1e-05},{'lr': 0.0001},42,0.09740285868328015,0.10486063390017238,0.8482632541133455,0.00195618963029439,736.8234841820943,3.534636074804952,0.22052486318717712
4,3,5,10,0.9,{'lr': 1e-05},{'lr': 1e-05},42,0.10657086627581763,0.022934699738555633,0.847618023443381,0.12208401890550892,203.4387700254037,5.677428826941305,0.14975824167010476
