max_n_leaf_nodes,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
1,0.29385423526892196,0.4689311805542958,0.6916325336454067,0.17292411304846775,744.6957743938309,1.5859982225763163,0.3866978682621614
2,0.45731651205121115,0.5732019138310941,0.6916325336454067,0.19666835916340533,746.6097599676222,2.2205558938642516,0.3105054012275282
3,0.759427118269888,0.8157625281719094,0.8275794811780769,0.19172734707226555,1054.0552533069906,1.6581801140065764,0.3761972316062274
4,0.8042161090290458,0.8893090310010023,0.9139847864248098,0.17497947615410692,918.0076901728208,1.5503883157986973,0.39209715391392586
5,0.7882689352433543,0.8601528194261558,0.9137897405890384,0.13850885435299565,695.992669851264,2.662581478996771,0.2730314685787995
10,0.28854470620235345,0.604182399524473,0.9118392822313244,0.053222986513065784,445.88423001996716,3.3884119657209317,0.2278728633071073
20,0.20535540842291777,0.5770189743451057,0.9691827579481178,0.054889907984079535,274.06587792973005,2.8428754705023915,0.2602218072575916
50,0.08435987632555879,0.4789186478762729,0.9814706456017164,0.04819120167337912,142.87695295715048,2.590769567775475,0.2784918333312912
100,0.08777604393313608,0.4761226905784773,0.9732787204993173,0.05046522406805273,152.5284784166945,2.6245417212248148,0.275896948335327
