n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,batch_size,pretrain_epochs,clustering_epochs,clustering_loss_weight,ssl_loss_weight,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,10,{'lr': 0.01},{'lr': 0.001},256,10,150,1.0,1.0,42,0.6796974502336219,0.4810181766919031,0.9124212936462507,0.31694758778630416,878.5467311417217,1.4984199119001795,0.4002529739844442
3,10,{'lr': 0.01},{'lr': 0.001},256,10,300,1.0,1.0,42,0.6008682170387133,0.4658317656643997,0.8706353749284488,0.253853122821973,773.5457051005012,1.840979088711755,0.3519913272059496
3,10,{'lr': 0.01},{'lr': 0.001},256,50,150,1.0,1.0,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,10,{'lr': 0.01},{'lr': 0.001},256,50,300,1.0,1.0,42,-0.000507482748245885,-0.000401014602561836,0.8692043503148255,0.23249132895701988,2.53938074372727,0.5907657235603733,0.6286280784085851
