n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,device,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
4,10,{'lr': 0.01},{'lr': 0.01},42,cpu,0.23804489560315237,0.2815469510898418,0.905581245295193,0.053883779675454484,2350.4044828991787,3.835374188579341,0.20680922737311577
4,10,{'lr': 0.01},{'lr': 0.001},42,cpu,0.22763773265634615,0.30153368275241627,0.9069792450801162,0.08151701250707463,2445.2438157112942,2.693965826906388,0.2707117626037914
4,10,{'lr': 0.01},{'lr': 0.0001},42,cpu,0.24368395171285304,0.29003785766042506,0.9100978599849446,0.08905075792338016,2778.2370314983623,2.5288869615887686,0.28337546962676924
4,10,{'lr': 0.01},{'lr': 1e-05},42,cpu,0.2890050978744835,0.3041420523744583,0.9209592429293473,0.1189157802671092,2841.36511638362,2.3904171713372726,0.2949489544985913
4,10,{'lr': 0.001},{'lr': 0.01},42,cpu,0.2478424855638387,0.2958865904727805,0.916872782019572,0.04511087559368297,2274.8676737253563,3.919771903237301,0.2032614559512366
4,10,{'lr': 0.001},{'lr': 0.001},42,cpu,0.22751162677167203,0.28339899370670596,0.9068717066351221,0.06352999445030223,2594.767675016816,3.3043677082401084,0.2323221592071793
4,10,{'lr': 0.001},{'lr': 0.0001},42,cpu,0.2620195288742585,0.32367528808067564,0.9417141628132057,0.08156244560602256,2666.8395057003136,2.9710488877888412,0.25182263635057384
4,10,{'lr': 0.001},{'lr': 1e-05},42,cpu,0.23922355568850037,0.31219426224228114,0.9352618561135606,0.1153777231004783,2942.459683177804,2.3156874892504873,0.3015965778566334
4,10,{'lr': 0.0001},{'lr': 0.01},42,cpu,0.003958040942972193,0.02051759619381736,0.847618023443381,0.056401871069110494,505.52292602839077,3.7879725345584667,0.20885667007950312
4,10,{'lr': 0.0001},{'lr': 0.001},42,cpu,-0.027687679358474934,0.07200694968898066,0.847618023443381,-0.11085151941249204,453.25749263930624,9.585131340455941,0.09447213906340876
4,10,{'lr': 0.0001},{'lr': 0.0001},42,cpu,0.28041232101822683,0.31574337719714846,0.9310678567587912,0.06652251847324804,2419.504905734203,3.2007100010773843,0.23805499540399677
4,10,{'lr': 0.0001},{'lr': 1e-05},42,cpu,0.1511480442783633,0.24253316031794173,0.9023550919453704,0.0745718616433472,2321.1467938437117,2.9204396511760686,0.2550734328227744
4,10,{'lr': 1e-05},{'lr': 0.01},42,cpu,0.32259965663294354,0.2176340094418483,0.847618023443381,0.27440293799109367,2398.888065356483,1.7686535499616662,0.3611863969090122
4,10,{'lr': 1e-05},{'lr': 0.001},42,cpu,0.6053545161647261,0.4738724303027948,0.906764168190128,0.4611162118700817,6173.342846289169,1.0857112617650984,0.47945274992364895
4,10,{'lr': 1e-05},{'lr': 0.0001},42,cpu,0.1233613511972157,0.24995898939155706,0.9059038606301753,0.050657733901907684,2268.0569998574333,4.4216906758241965,0.18444431078650234
4,10,{'lr': 1e-05},{'lr': 1e-05},42,cpu,-0.002704680269560812,0.07666555395619902,0.847618023443381,-0.048765006815869344,344.09537859949154,5.817436544935016,0.14668270007484638
