max_n_leaf_nodes,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
1,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.01},{'lr': 0.001},42,0.03359815599494169,0.18146495453007952,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
1,10,{'lr': 0.01},{'lr': 0.0001},42,0.03359815599494169,0.18146495453007952,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
1,10,{'lr': 0.01},{'lr': 1e-05},42,0.03338591102989359,0.18012352603314288,0.30594405594405594,0.4540275483809796,4241.347738136505,0.6493238723674996,0.6063090559433689
1,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.001},{'lr': 0.001},42,0.03359815599494169,0.18146495453007952,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
1,10,{'lr': 0.001},{'lr': 0.0001},42,0.03359815599494169,0.18146495453007952,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
1,10,{'lr': 0.001},{'lr': 1e-05},42,0.03317440680011862,0.17887385393672015,0.30569430569430567,0.45384029320676583,4228.2001910427925,0.6476535862240973,0.6069236934031047
1,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.0001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 0.0001},{'lr': 0.0001},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
1,10,{'lr': 0.0001},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
1,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
1,10,{'lr': 1e-05},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
