n_clusters_init,dip_merge_threshold,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
2,0.5,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 0.01},{'lr': 0.001},42,0.03359815599494169,0.18146495453007952,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
2,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.03331532735550194,0.17969895136511171,0.3058608058608059,0.4539270290071351,4236.714373053672,0.6486661491296016,0.6065509384831738
2,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.03366906906256558,0.18194579728543428,0.30627705627705626,0.45410190604567974,4256.120204478427,0.651535130494641,0.6054972622353461
2,0.5,10,{'lr': 0.001},{'lr': 0.01},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,0.5,10,{'lr': 0.001},{'lr': 0.001},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,0.5,10,{'lr': 0.0001},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
2,0.5,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 1e-05},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 0.01},{'lr': 0.01},42,0.19274972414914263,0.48374057820914235,0.3633033633033633,0.33911074050382467,5560.3035332137,1.2564462360925253,0.44317475152064517
3,0.5,10,{'lr': 0.01},{'lr': 0.001},42,0.03359815599494169,0.18146495453007952,0.3061938061938062,0.45402512089391506,4252.153187956769,0.6508066343752926,0.6057644663988315
3,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.052141988706445416,0.2700637978830116,0.3404095904095904,0.3993044524036743,3481.9717825497737,0.639981700257877,0.6097629015267403
3,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.03374006455249314,0.18245733406203035,0.30636030636030637,0.4541174493405262,4258.48428261116,0.6524053467537495,0.6051783855363095
3,0.5,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 0.001},{'lr': 0.001},42,0.052294948098517216,0.270910034802576,0.34057609057609056,0.3993857641919239,3486.7681565166185,0.6405868357349563,0.6095379886137001
3,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,0.052294948098517216,0.270910034802576,0.34057609057609056,0.3993857641919239,3486.7681565166185,0.6405868357349563,0.6095379886137001
3,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.05212497066657448,0.26946771554235144,0.34032634032634035,0.3992752425309584,3476.501192438213,0.6413200580173736,0.6092656914264158
3,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,0.033456577008202336,0.18055788630713893,0.30602730602730605,0.45395076330266776,4244.059011166132,0.6497187706183472,0.6061639218817764
3,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,0.033104069859959354,0.1784714516174573,0.3056110556110556,0.453780632093574,4223.285871865314,0.6472981965089185,0.6070546317110509
3,0.5,10,{'lr': 0.0001},{'lr': 1e-05},42,0.032823543659400274,0.1769152538518349,0.3052780552780553,0.4533444013189525,4196.923062675271,0.6480258678015356,0.6067865920903285
3,0.5,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 1e-05},{'lr': 0.001},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
3,0.5,10,{'lr': 1e-05},{'lr': 0.0001},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
3,0.5,10,{'lr': 1e-05},{'lr': 1e-05},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
5,0.5,10,{'lr': 0.01},{'lr': 0.01},42,0.2799489464446396,0.5373536700075886,0.4325674325674326,0.23763962599956867,4430.282805487717,1.2143809481346777,0.4515934807163001
5,0.5,10,{'lr': 0.01},{'lr': 0.001},42,0.15087808698070465,0.5163302103633802,0.44696969696969696,0.30692504799088804,4026.4330777832174,0.8954229540930431,0.5275867308879871
5,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.14950497079489122,0.5111051872285534,0.4464701964701965,0.3059592689416239,4000.5610624816245,0.8935367892331669,0.5281122636148907
5,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.15061449824323378,0.5135072303755376,0.4468031968031968,0.3072610659754276,4028.8937564489597,0.8969617015514281,0.5271587714091176
5,0.5,10,{'lr': 0.001},{'lr': 0.01},42,0.01563565088247877,0.10947417808890174,0.2683982683982684,0.4048726990404098,1564.8645997566616,0.660377880361222,0.6022725379733713
5,0.5,10,{'lr': 0.001},{'lr': 0.001},42,0.145172136293626,0.47376441602052194,0.3971028971028971,0.3569170980942222,4877.644087268173,0.8433551562010118,0.5424890567810652
5,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,0.12654790473585967,0.4665442052654036,0.45204795204795206,0.20059072294045274,3183.3496518959028,0.865803064044929,0.535962245571658
5,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.12916118044673924,0.4357153086397317,0.388028638028638,0.3472621652725679,4587.749587053337,0.8445807327279227,0.5421286161441766
5,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
