n_clusters,embedding_size,random_state,pretrain_optimizer_params,clustering_optimizer_params,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,10,42,{'lr': 0.01},{'lr': 0.01},0.8009993601383063,0.7566575513766364,0.7991027891554515,0.16531061462785465,1001.8082842749025,1.9663436178530886,0.3371153611407153
5,10,42,{'lr': 0.01},{'lr': 0.001},0.8858746716722959,0.8444786833425558,0.8864833235810415,0.16137408681908888,908.7423234089397,1.764172966079358,0.3617718617002386
5,10,42,{'lr': 0.01},{'lr': 0.0001},0.4373154111623275,0.5402729226705064,0.7341525258435733,0.12546536386392976,511.9605816659486,1.6204172853225296,0.3816186092196826
5,10,42,{'lr': 0.01},{'lr': 1e-05},0.2831315771524797,0.3576989224252906,0.5742149405110201,-0.01431025979101122,454.32007862026904,1.9509064301188233,0.3388789254018242
5,10,42,{'lr': 0.001},{'lr': 0.01},0.43405850220212,0.4931842794008499,0.7193290423249463,0.1583588410403955,685.8569180626356,2.0336464454152634,0.32963630337058414
5,10,42,{'lr': 0.001},{'lr': 0.001},0.5927372741553633,0.7659914310707057,0.8903842402964697,0.1273240758991012,833.0908290098257,2.220704660645352,0.3104910587484988
5,10,42,{'lr': 0.001},{'lr': 0.0001},0.7412578105183469,0.6975242903910199,0.7926662765749951,0.1521213552156362,732.1320818361622,1.5315622664544135,0.3950129978041397
5,10,42,{'lr': 0.001},{'lr': 1e-05},0.4039888015322346,0.41142995751008166,0.6459918080748976,0.11517394468217489,470.9015116387601,1.7033944070805092,0.36990532989965574
5,10,42,{'lr': 0.0001},{'lr': 0.01},0.49895974011460487,0.5370951959300811,0.7144528964306612,0.15180508245799207,763.8751417432869,1.8866831002494482,0.3464183511912293
5,10,42,{'lr': 0.0001},{'lr': 0.001},0.5758325258785737,0.7440593122832327,0.8318704895650478,0.12590849185037725,736.0922648171651,2.308012815875018,0.3022962895430879
5,10,42,{'lr': 0.0001},{'lr': 0.0001},0.5979621063923036,0.7989636803670733,0.9122293739028672,0.13914932475597153,848.8452897588596,2.1592297292396716,0.31653285316502416
5,10,42,{'lr': 0.0001},{'lr': 1e-05},0.10337487342799515,0.22601138853707445,0.5574409986346791,0.0610689798009854,364.01054385582466,2.0921012044425287,0.32340467982201404
5,10,42,{'lr': 1e-05},{'lr': 0.01},0.6337392813778467,0.6561434547792799,0.8047591183928223,0.13387035182826557,632.3227610263515,1.6548030550296002,0.3766757756683576
5,10,42,{'lr': 1e-05},{'lr': 0.001},0.8879738225360336,0.8984784219279314,0.9576750536376049,0.15313011193744902,809.1432439092931,2.084130797080236,0.32424046377887267
5,10,42,{'lr': 1e-05},{'lr': 0.0001},0.8316202496297617,0.8386508217703748,0.9330992783304076,0.16264766900715266,803.9944922853742,1.9395430415739434,0.34018892931894673
5,10,42,{'lr': 1e-05},{'lr': 1e-05},-0.030519212311146703,0.015902529146556908,0.556855861127365,0.00477001509174218,55.914029324411224,3.4822135679444672,0.2231040500059433
