dataset,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
Sim1,0.7321846102746007,0.7904367533740202,0.7858807858807859,0.1741386240277202,2454.33280268764,3.806512931795991,0.20805103703868372
Sim2,0.5778332044461545,0.7966237664469912,0.7230131414267835,0.100611807993544,1874.234251175628,3.401388420471304,0.227201033962124
Sim3,0.6891447173043561,0.7844947916981115,0.7627465775574,0.23605109458992418,2952.525894702248,3.2009122512844947,0.23804353439999476
Sim4,0.7703300371276866,0.8590647333550171,0.9132046030817242,0.30498840864728266,1997.8008587610168,1.0464612995192488,0.4886483806143406
Sim5,0.6851865915978769,0.778912942789563,0.7552304813743834,0.10987136322895824,2118.0439017137032,4.186239670721287,0.19281793042567255
Sim6,0.7567930723392622,0.8550674530318173,0.8084625957196152,0.21123621410962426,2268.212270881067,2.605653596304179,0.27734222750211146
Sim7,0.5352655274865717,0.7752433208078874,0.664333166654761,0.15966310374629264,2412.1489361684817,3.5137080831844565,0.221547335709511
Sim8,0.3361973526978554,0.46835231811347555,0.953921007441328,0.16496488564400882,934.9426314150325,1.9724251381787266,0.3364256300876001
Sim9,0.45788345485397036,0.738449284378967,0.6735450073468344,0.13709863712448045,2104.8792043840544,4.240858125000884,0.19080844704221628
Sim10,0.4263103862013157,0.7501113525919391,0.675490131361806,0.12489015697620504,2769.8258175340516,3.039927339840145,0.2475292043345435
Sim11,0.6359533655437074,0.7983609383756844,0.7589106928313977,0.16250508475449732,4226.9186093526405,3.508125113136459,0.22182170523307976
Sim12,0.35506933001122776,0.7142335490293381,0.661773428232503,0.07193979082438663,2051.9793212901404,4.398328522533207,0.1852425238341631
Sim13,0.4909182689347029,0.7189677126515933,0.7452515400410678,0.2988181391172029,2181.4756099773444,4.283235962855657,0.18927793629332565
Sim14,0.9802832728687141,0.9579425878039005,0.9933436875970713,0.20133586899965134,1090.3182238489012,1.3663165561290822,0.422597727852541
Sim15,0.8787098923930746,0.9415833306520632,0.9533202519880203,0.29749336830302175,3479.011842463446,2.5101980877724124,0.28488420738517484
Sim16,0.42722021584478975,0.679453954104724,0.7231339332980413,0.16345690779163483,1866.4590063272155,3.0406608358378313,0.24748427067441553
Sim17,0.4310648350672496,0.7085613429484006,0.7147724774675753,0.2298464007228763,4626.394419970528,4.053999458013179,0.19786309996818216
Sim18,0.7543718457994062,0.816825601387797,0.873500856653341,0.21449457274773967,2781.7262650098,2.4080375423561593,0.2934239977029849
Sim19,0.3440442096028531,0.7529729886270057,0.6556819004852611,0.10987933587153685,2250.1770416498694,3.3383742949814916,0.2305010891192057
Sim20,0.6370251991826658,0.8211762600047806,0.8436438405149294,0.1806165657133247,3689.1844605180877,4.013379388036265,0.19946625272094137
Sim21,0.9479773590574138,0.9137721709265213,0.9790356394129979,0.27626091634236755,1416.862946798115,2.5534311287017575,0.2814181459499256
Sim22,0.46971454900151843,0.6857336185970507,0.7597521475848472,0.16641108801610566,2542.633423058348,3.451607186260408,0.22463796964980065
Sim23,0.5579227559117752,0.7776284853975328,0.7444294900553312,0.12541387222749137,3625.825077702359,3.3317798814028934,0.23085198864632506
Sim24,0.8819488940322673,0.883120959961763,0.9125674389082831,0.26178785823042383,1972.4695085065878,2.1039520132197747,0.322169929090716
Sim26,0.44389570330306727,0.7448880409960122,0.717047023471128,0.08049380050003821,2261.7816189698437,4.528098595148113,0.18089402400993307
Sim27,0.5926139417475091,0.7781060166590642,0.9139356814701378,0.17070513525150335,2001.3799404731903,2.8586896066200187,0.2591553356052238
Sim28,0.6540693523105464,0.8181430232315255,0.792070192864829,0.16378661289624288,3242.193593543979,3.0051300179580545,0.249679784555367
Sim29,0.4038605964073044,0.5903537732840258,0.8170936078525257,0.23351024246791086,723.2440275025226,1.0192369722825059,0.4952365738775175
Sim30,0.5776813032350891,0.7186706165158125,0.8786948176583493,0.19871731167793127,2394.317507692212,2.6951316296369843,0.2706263538704416
Sim31,0.6991972184175681,0.6820865569526608,0.7205739299610895,0.08639027740318914,1568.271463227566,4.56943057399078,0.1795515693597109
Sim32,0.5959549157678835,0.7480007355597778,0.767900418594404,0.11801612538795453,2211.218932859267,3.686517258953408,0.21337806834905793
Sim33,0.1035352018405858,0.20357637750048424,0.7169585032381867,0.3169269938395915,75.85903924812514,4.917003545420642,0.16900446185703774
Sim34,0.63707772665822,0.7818700550723275,0.7918552036199095,0.2189361714918201,2113.425287103298,2.6657407644705873,0.2727961588807063
Sim35,0.8670264208058852,0.8641991927251886,0.8775445628098302,0.2356525225628822,3199.0966893402165,3.247491813545614,0.23543306117999205
Sim36,0.6141190162288042,0.7843561040196876,0.7010584148016482,0.17198323994053114,2150.5652081945545,3.7035003289157777,0.21260761774635908
Sim37,0.8298138171753802,0.8844468664066578,0.8645770544504722,0.20464376646615615,3488.115773684978,2.694583295335399,0.27066651908012235
Sim38,0.6514996139190673,0.8127868593044285,0.8149443846429852,0.18762751481970052,3941.239037462096,3.035665691504374,0.24779059427671035
Sim39,0.9865418314587404,0.9623332968017325,0.9940665395210849,0.39266717400621226,3269.7270232890687,1.406664841422524,0.4155127805037128
Sim40,0.43406074686931023,0.6388183238385886,0.721875,0.08120845481182747,4249.917473103635,5.503253055722588,0.1537691969590576
Sim41,0.7647105184526823,0.8615635832691749,0.786468869408856,0.22449764136807193,2486.053324749875,2.487726996170438,0.2867196890978023
Sim42,0.3725086345575369,0.617837014950886,0.7774977764601245,0.07417576559759137,1813.9739952635105,3.979950540526707,0.20080520717264685
Sim43,0.5562492764941055,0.7744659345604945,0.7862202189311011,0.10205306178666268,2084.2371876356215,3.7643169302438175,0.20989367723461344
Sim45,0.30180028904382106,0.5787734565540397,0.6614161416141614,0.1370988794045856,1661.0587678498007,2.9995680851810147,0.25002699759135155
Sim46,0.9785588011054706,0.9581941757058963,0.9930985245121371,0.28780651062361323,1867.5092321649336,1.206108396838566,0.4532868835606793
Sim47,0.7328154536668244,0.8024898967611628,0.7489295800309739,0.1576191294767872,2385.1181233169928,3.9801067554840586,0.20079890835649397
Sim48,0.4605222705202508,0.755741179432252,0.8085885973911769,0.27169128439862433,2823.163200883829,1.659159410156023,0.37605868838879664
Sim49,0.593052131976212,0.7835127874421131,0.7995998315080034,0.1624185981901483,2034.429865681285,3.7550683859054685,0.21030191762627576
Sim50,0.48048829295814094,0.7438004827664739,0.7192935509767193,0.1346939112912129,2521.7280386012467,2.2747161814480403,0.30536997546999994
Sim51,0.43547191350917447,0.696074871237175,0.6054827175208581,0.060139179280694455,1690.6614686335224,4.733919853600983,0.1744007634449208
Sim52,0.7052884647647814,0.7924082675198603,0.7894111291193949,0.15098725549256833,2380.6146122394184,3.8322628504460408,0.20694238516178715
Sim53,0.972969321706985,0.9533743941304516,0.9899777282850779,0.30904259695813524,1442.6063810771657,1.190532039822684,0.4565100997477063
Sim54,0.32076206974140953,0.6150683541232094,0.6598295536617074,0.1186267806701799,2477.832933068361,3.138152611932151,0.2416537266210413
Sim55,0.5367102306895013,0.7611018078477776,0.6949068498972869,0.13213555919732406,2413.787777613051,3.048134317046153,0.24702737648529435
Sim56,0.5561777088790386,0.7539860540886787,0.712374843554443,0.07767613643756864,2284.095072274735,4.928976501389553,0.16866317479342913
Sim57,0.9105465948721544,0.8733579055934193,0.9476273607363911,0.27248948204599194,3328.4274040530254,2.2736110812567456,0.3054730617590951
Sim58,0.7252870602017814,0.8399876541458705,0.878880407124682,0.3538754185941105,5362.310023493407,1.6248691422869872,0.38097137258763436
Sim59,0.6679089139354055,0.6902430295823601,0.9003831417624522,0.46331582239159547,3267.8638276803727,2.6490226128530203,0.2740459860340907
Sim60,0.603600155917844,0.7537946603693879,0.7758417011222681,0.08262865642831135,1787.3957602853268,3.689872850522761,0.213225396907836
Sim61,0.5091059424984589,0.7682021793816831,0.7099397590361446,0.05894193517655368,2046.9121537869166,3.7309314598190273,0.21137486528673005
Sim62,0.4007074012890945,0.5560041052981627,0.6813054594675891,0.12476137924149747,2223.691163587715,3.238123614268521,0.23595347635290603
Sim63,0.6450144810016555,0.7588704547264247,0.830102174482578,0.13828302638873682,1242.0348409697085,3.657083539174288,0.21472666135108723
Sim64,0.573407788171878,0.8096574524656052,0.9865030674846625,0.2354022826694151,3182.3418403375404,1.8525976942176012,0.3505576696030654
Sim65,0.4762575186563427,0.789159310788312,0.6913406788434519,0.20525309791307264,3750.3589752556645,3.6710055160587154,0.214086666470858
Sim66,0.46811624267713303,0.7188225876806303,0.7009226853324849,0.10475060943405654,3057.187841123067,3.780365060652803,0.20918904462569238
Sim67,0.41155447414057,0.6929721121604718,0.6804078403797135,0.08519465803642522,2860.7707303923135,3.4607029133267404,0.22417991501124465
Sim68,0.9641885308028745,0.9393734811789007,0.9542538354253836,0.3257888549299812,2663.0277669269954,2.307562139025258,0.3023374793783016
Sim69,0.6085694692510194,0.794982308706625,0.7603518380217409,0.14296632429687534,3223.216679348105,4.363397225324854,0.18644899081466623
Sim70,0.6483140523416336,0.7328854624487731,0.6845130388504523,0.16337036912694766,1759.795967099687,3.4896260512586683,0.22273569971816468
Sim71,0.5318301345625065,0.8011455568916543,0.7296233003937885,0.17566373242635203,3039.9630043385805,3.706201451821798,0.21248559166817949
Sim72,0.657299129332015,0.7759468116151436,0.7780559778234821,0.17594614626037985,1834.5422339467204,3.3443541559650156,0.23018381193138912
Sim73,0.7551502396027944,0.7897355468482747,0.7707444286391655,0.17141173736531834,2144.2118216233903,3.4202689527004777,0.2262305779807967
Sim74,0.5468771842406004,0.7492334214997503,0.6898584003061615,0.12379052968466076,2276.0506578091226,4.056279312241236,0.19777388436176838
Sim75,0.3126468928075649,0.710062549142134,0.6513517400057521,0.06776147986510275,2077.2126125614623,3.6372151022409582,0.21564667110584212
Sim76,0.9751686675896376,0.9057447139929097,0.9574201628052599,0.4094464602026254,3098.412728878742,2.4302516432664403,0.2915238017487705
Sim77,0.6499348059627457,0.730571235841951,0.7252964426877471,0.22491345670042096,1739.6586271618442,2.759901889173421,0.26596438669835626
Sim79,0.432592670546723,0.7348249789194171,0.695514584479912,0.14481115566036687,3162.7958531853865,3.839710394130892,0.20662393378180197
Sim80,0.45675789545850076,0.6759987660999401,0.798504576511538,0.10535629555863252,2623.985524350475,3.9867905039646088,0.20052977946536513
Sim82,0.6197397724102304,0.713307838842213,0.7281879194630873,0.13777038536104422,3097.5795088634095,4.055057503638429,0.1978216863567308
Sim83,0.7956860212335984,0.8454119585242492,0.9264310411064157,0.21475736542523288,2915.3964651464894,2.329305445919644,0.3003629484418703
Sim84,0.7544001130115993,0.8573922165664632,0.8901704252022723,0.27334079628300756,1270.651197232051,2.0498722737953856,0.3278825833435835
Sim85,0.5398778358977752,0.7421059049608613,0.670755237045204,0.1155233299392271,2364.2714659441804,4.553946222168723,0.18005215751072157
Sim86,0.6953907966839569,0.849842711739294,0.81317252834549,0.162824542780457,3299.635679099039,3.6226820339064894,0.2163246341983271
Sim87,0.3809042022157826,0.5895793174559355,0.7048418527956828,0.10998554610577334,3071.9557502097778,3.4265536891686934,0.2259093801227112
Sim88,0.7969873339911994,0.8430252587172495,0.9005300904271906,0.1995477250584072,2298.7972908298975,4.15803470175207,0.19387229009148044
Sim89,0.6964328276056949,0.7145527222658584,0.8987535534659961,0.23913955444742832,2314.1783384764144,2.494841167298195,0.28613603655501285
Sim90,0.45904579139186596,0.7408176289310345,0.6709891150023664,0.20367535065823839,2962.577261351725,2.9426347170862055,0.25363749668877456
Sim91,0.6106827364826423,0.7880973657150145,0.8097218371684687,0.15290910483402517,2663.158692362658,3.8407728726800445,0.20657858286302122
Sim92,0.5102616130127671,0.705441637107862,0.7513440860215054,0.11442510962184928,2113.8624614761243,3.629516667623308,0.21600527048396564
Sim93,0.4583724903127706,0.6524782874646332,0.8159659741534435,0.15571573591367824,3065.0315099458307,3.50010233962494,0.22221716852851503
Sim94,0.47513988767658266,0.6169374431617299,0.7839679358717435,0.24540593898228533,1189.8222041586898,3.888986212536191,0.20454138271771563
Sim95,0.41101485016355727,0.7178673272114179,0.6371368961643396,0.09451405439257861,2546.471348737199,4.028632242839843,0.1988612313863034
